245455_at	At4g16930
245456_at	At4g16950
245457_s_at	At4g16960
245458_at	At4g16970
245459_at	At4g16980
245460_at	At4g16990
245461_at	At4g17000
245462_at	At4g17020
245463_at	At4g17030
245464_at	At4g17050
245465_at	At4g16590
245466_at	At4g16600
245467_at	At4g16610
245468_at	At4g15980
245469_at	At4g16010
245470_at	At4g16020
245471_at	At4g16030
245472_at	At4g16040
245473_at	At4g16050
245474_at	At4g16060
245475_at	At4g16080
245476_at	At4g16090
245477_at	At4g16110
245478_at	At4g16130
245479_at	At4g16140
245480_at	At4g16150
245481_at	At4g16170
245482_at	At4g16180
245483_at	At4g16190
245484_at	At4g16210
245485_at	At4g16230
245486_x_at	At4g16240
245487_at	At4g16250
245488_at	At4g16270
245489_at	At4g16280
245490_at	At4g16310
245491_at	At4g16320
245492_at	At4g16340
245493_at	At4g16380
245494_at	At4g16390
245495_at	At4g16400
245496_at	At4g16440
245497_at	At4g16460
245498_at	At4g16470
245499_at	At4g16480
245500_at	At4g15590
245501_at	At4g15620
245502_at	At4g15640
245503_at	At4g15650
245504_at	At4g15660
245505_at	At4g15690
245506_at	At4g15700
245507_at	At4g15710
245508_at	At4g15720
245509_at	At4g15730
245510_at	At4g15740
245511_at	At4g15760
245512_at	At4g15770
245513_at	At4g15780
245514_at	At4g15805
245515_at	At4g15810
245516_at	At4g15820
245517_at	At4g15840
245518_at	At4g15850
245519_at	At4g15860
245520_at	At4g15870
245521_at	At4g15880
245522_at	At4g15890
245523_at	At4g15910
245524_at	At4g15920
245525_at	At4g15930
245526_at	At4g15950
245527_at	At4g15960
245528_at	At4g15530
245529_at	At4g15570
245530_at	At4g15580
245531_at	At4g15100
245532_at	At4g15110
245533_at	At4g15130
245534_at	At4g15150
245535_at	At4g15160
245536_at	At4g15180
245537_at	At4g15190
245538_at	At4g15200
245539_at	At4g15220
245540_at	At4g15230
245541_at	At4g15240
245542_at	At4g15250
245543_at	At4g15260
245544_at	At4g15270
245545_at	At4g15280
245546_at	At4g15290
245547_at	At4g15300
245548_at	At4g15310
245549_at	At4g15320
245550_at	At4g15330
245551_at	At4g15350
245552_at	At4g15360
245553_at	At4g15370
245554_at	At4g15380
245555_at	At4g15390
245556_at	At4g15400
245557_at	At4g15410
245558_at	At4g15430
245559_at	At4g15460
245560_at	At4g15480
245561_at	At4g15500
245562_at	At4g15520
245563_at	At4g14580
245564_at	At4g14590
245565_at	At4g14605
245566_at	At4g14610
245567_at	At4g14630
245568_at	At4g14650
245569_at	At4g14660
245570_at	At4g14670
245571_at	At4g14695
245572_at	At4g14720
245573_at	At4g14730
245574_at	At4g14750
245575_at	At4g14760
245576_at	At4g14770
245577_at	At4g14780
245578_at	At4g14790
245579_at	At4g14810
245580_at	At4g14820
245581_at	At4g14840
245582_at	At4g14850
245583_at	At4g14920
245584_at	At4g14940
245585_at	At4g14970
245586_at	At4g14980
245587_at	At4g15020
245588_at	At4g15030
245589_at	At4g15040
245590_at	At4g15060
245591_at	At4g14530
