"ID_REF"	"GSM78332"	"GSM78333"	"GSM78334"	"GSM78335"	"GSM78336"	"GSM78337"	"GSM78338"	"GSM78339"	"GSM78340"	"GSM78341"	"GSM78342"	"GSM78343"
"245791_at"	2221.7	2072	2241.1	3495.5	2950.2	2661.4	2389.6	3432.8	2877.1	2739.5	2084.1	2612.9
"245792_at"	683.7	590.8	722.5	703.1	530.1	701.4	956.2	928.2	1312	1122.7	955.5	946.2
"245793_at"	765.3	746.6	761.4	894.2	685.9	772.9	689.7	772	941.1	742	740	929
"245794_at"	1101.3	657.7	1218.5	1010.9	896.3	909	1450.1	1087	1534	2011.8	1356.3	1912
"245795_at"	1400.3	1544	1353.3	1244.1	1188.8	1378.5	1281.7	1307.7	1339.6	1134.8	1411.7	1264.2
"245796_at"	1788.5	2553.8	2002.8	2210.7	3207.1	2253.2	1617.5	2235	1742	1976.4	2699.1	3379.2
"245797_at"	712	956.4	999	644.6	788.7	903.6	703.1	764	864.4	559	781.7	601.4
"245798_at"	38.6	14.6	50.2	27.7	38.6	43.8	37.4	27.9	19.5	36.1	21.8	22.3
"245799_at"	2.2	0.8	1.1	2	1.9	1.9	1.4	1.2	2.4	1.8	1.2	1.6
"245800_at"	211.5	166.9	161.8	176.6	139.1	150.6	194.1	175.5	183.7	149.8	151.1	201.8
"245801_at"	3.2	3.5	2.1	2.7	3.7	2.8	3.2	2.7	2.5	4.9	3.4	3.5
"245802_at"	38	28.7	77.9	41.5	57.5	60.9	37	48.2	46.2	65.4	40.4	25.3
"245803_at"	6109.4	4969.5	6036.7	6200.1	4475	4769.8	8657.3	7214.5	7328.3	8619.4	6711.5	6742.9
"245804_at"	2.5	4.9	1.7	4.6	10.7	7.5	10.7	6.9	3.1	3.7	4.8	7.3
"245805_at"	0.7	7.4	12.4	1.8	0.8	3.5	5.1	6.3	0.6	1.2	0.5	0.3
"245806_at"	1206.9	1290.4	2017.9	1511	1559.8	1873.2	1336.4	1859.2	1986.5	1465.9	1320.4	1400.4
"245807_at"	62.5	104	77.4	98.2	137.9	129.5	163.4	131	137.4	142.1	134.8	140.5
"245808_at"	106.8	124.4	134	135.9	133.1	144.5	128.7	123.6	107.9	120.8	107.3	112.5
"245809_at"	859.7	625.9	664.1	878.1	492.7	563.4	788.3	699.9	699.1	871.1	639.4	665.6
"245810_at"	207.5	220.8	146.7	174.9	229.6	160.1	206.3	166.4	237.6	174.9	223	193
"245811_at"	1.7	2	2.3	2.3	3.5	2.5	1	2.2	2	9.4	3.1	0.8
"245812_at"	12.9	3.6	3.5	6	11.1	9.3	4.6	7.6	13.2	14.1	2.3	15.1
"245813_at"	46.5	22	28.8	40.6	36.6	32.5	21.4	25.3	15.3	12.7	5.7	26.9
"245814_at"	160.8	125.6	131.3	127.1	161.9	163.8	150.7	148.6	125.4	128.2	132.8	128
"245815_at"	473.9	569.4	530.6	616.3	439.4	508.4	401.3	444	499	385.9	502.4	426.4
"245816_at"	31.3	63.4	43.7	49	93.1	50.2	49.4	114.7	71.1	56.7	99.9	64.9
"245817_at"	584	770.8	777	633.6	773.1	729.5	581.4	802.7	597.2	505.3	678.6	664.7
"245818_at"	271.1	280.3	291	292.3	282.3	301.3	267.8	302.9	290.7	241.5	228.9	249.5
"245819_at"	48	39.2	51.5	34	89.3	73.7	51.2	41.9	39.9	48.3	43.2	61.4
"245820_at"	56.8	57.5	85.4	38.2	99.9	65.8	108.3	50.6	57.6	100.4	62.9	39.2
"245821_at"	1016.4	870.3	836.2	768.5	792.5	958.4	812.8	708.1	626.9	975.1	888.6	907.4
"245822_at"	1601.6	1952.9	1446.5	1344.7	1577.5	1446.5	1872.8	1237.2	1289.1	1420.1	1862	1601
"245823_at"	5.7	3.5	5.9	4.5	4.8	4.8	5	5	6	5.1	3.1	4.8
"245824_at"	13	12.6	50	13.8	16.9	14.1	12.8	13.3	10.5	14.6	9.9	13.7
"245825_at"	417.2	347.6	369.6	455.3	383.4	378	410.4	365.2	408.9	465.1	345.4	409.3
"245826_at"	53.7	45.6	42	43.7	44.3	58.5	50.6	34.7	66	43.8	27.5	43.5
"245827_at"	64.8	40.7	59.2	59.2	78.6	45.5	68	53.6	59.4	67.6	47.5	39.1
"245828_at"	138.5	128.3	83.6	148.3	147.2	128.3	49.6	80.2	85.4	101.4	122.5	62
"245829_at"	26.2	8.3	17.4	10.4	24.3	13.2	10.4	12.1	9.8	25.1	7.1	8.7
"245830_at"	89	65.4	152.5	130.6	141.5	119.4	158.3	166.1	139.5	141.8	123.5	123.8
"245831_at"	248.9	271	311	274.2	262.3	211.9	251.1	244.1	336.4	318.6	299.4	276.8
"245832_at"	2271.3	1786.8	1554.6	1859	1690.1	1649.4	2667.2	1812.3	1818	2608.2	1748.5	1683.6
"245833_at"	83	48.6	146.4	101.6	123.6	72.9	83.9	52.6	86.6	102.6	68.7	79.4
"245834_at"	7.6	4.3	2.5	3.3	8.5	6.3	9	4.7	5	2.4	2.8	5.1
"245835_at"	8.8	14.1	8.4	13.2	7.9	11.9	17.8	6.6	14.2	11.9	15.7	6.4
"245836_at"	0.3	0.3	0.3	0.8	0.2	3.2	0.2	0.4	1.5	0.7	0.1	0.6
"245837_at"	14.5	13	21.6	23.6	21.3	19.7	8.4	22.5	20.5	22.2	16.1	23.7
"245838_at"	113.6	79.3	66.8	95.9	90.2	135.1	121.5	75.2	59.9	113.5	84	96.7
"245839_at"	41.8	19.5	41.1	33.5	50.6	34.9	40.9	28.4	21.3	40.6	27.7	43.9
"245840_at"	144	217.4	88.8	156.4	227.8	124.7	225.6	311.9	172.3	315.8	286.8	260.3
"245841_s_at"	5966.4	7253.9	6944.5	6372.7	7557.8	7391.8	4263.9	6780.6	5566.7	5926.3	6803.7	6319.7
"245842_at"	12.3	16.9	19	24.2	36	7.4	42.8	11.1	30.2	14.8	5.9	4
"245843_at"	307.2	312.2	280.9	264.1	300	287.2	206.1	232.3	345.9	320.4	202.2	269.1
"245844_at"	376	465.8	315.3	383.7	303.7	327.9	270.2	303.8	294.2	246.7	329.4	339
"245845_at"	145.1	179	177.2	151.4	157.4	187.1	150.1	172.3	181.2	164.2	144.2	157
"245846_at"	164.6	106.7	105.5	139.4	108.4	142.8	174.2	115	126.8	183.5	106.5	143
"245847_at"	116	119.5	124.8	99.9	147.3	149.4	135.5	153.6	184.9	163.4	121.6	144.7
"245848_at"	212.1	245.5	206.6	218.5	233.9	219.4	164.5	184.7	169.5	161.4	145.8	186.9
"245849_at"	279.2	283.6	139.4	239.5	157	161.2	209.2	123.4	204.6	208.7	192.8	164.5
"245850_at"	151.2	151.1	130	118.3	127.1	139.4	134.4	107.1	105.9	93.1	119	142.8
"245851_at"	251.6	252.2	194	188.5	240.9	221.8	201.3	192	181.8	200.4	219.3	262.7
"245852_at"	6382.7	7267.4	6336.3	5358.1	5353.6	5793	5632.3	5439.8	6791.9	5515.8	5331.4	5309.5
"245853_at"	863	590.9	526.5	718	527.4	549.2	776.1	670.6	508.9	747	646.7	643.9
"245854_at"	4395.8	6076.3	5426.5	3783.8	5781.2	5828.4	5087.9	6144.5	5779.3	5096.3	7178.9	7295.4
"245855_at"	286.5	249.6	267.5	303.7	222	225.1	363.2	333.6	385.7	307	303	333.6
"245856_at"	51.1	22.1	25.4	40.7	41.3	51.3	41	55.9	57.2	60.5	61.6	27.4
"245857_at"	3	20.9	35.7	16.3	13.6	51.4	33.9	16.4	25.9	42.1	17.9	35.5
"245858_at"	25.2	20.6	22.1	6.5	36.5	19.2	20.8	10.9	23.7	49.6	16.2	18.9
"245859_at"	287.7	219	267.6	239.1	239	183.2	252.8	180.5	218	175.7	157.5	181.4
"245860_at"	49.5	8.9	33.8	55	19	9.8	90.6	64.7	71	38	65.6	44.8
"245861_at"	944	893.1	884.6	885.6	622.5	630.7	995.4	597.7	672.8	646.5	750.2	528.8
"245862_at"	1584	1310.6	1334.7	1348.1	1374.3	1262.5	1505.4	1165.2	1175.5	1263.5	1304.1	1224.7
"245863_s_at"	232.4	221.8	189.2	172.5	161.2	162	193.6	140.1	170	152	182.1	140.7
"245864_at"	262.4	202.3	296.9	266.1	181.3	157.6	250.2	193.1	274.2	211.1	115.9	248
"245865_at"	372.2	191.3	280.3	306.6	226.8	274.4	376.5	193	242.9	115.4	244.8	236.9
"245866_s_at"	299.4	765.4	342.8	542.4	1001.6	481.4	231.4	427.5	138.1	411.4	429.2	709.7
"245867_at"	2427.7	2532.7	2127.8	2134.6	2365.6	2037	2508.7	2122.6	2029.4	1811.1	2162.7	2048.1
"245868_at"	1866.5	1260.6	1633.4	1759.3	1303.5	1479.2	2319.3	1736.3	2331.5	2215.7	2124.3	2369.8
"245869_at"	116.7	87.3	62	87.7	90.7	72.3	81.3	75.1	113.6	91	98.9	96.1
"245870_at"	146.9	111.8	68.4	162.1	105.9	71.2	170	131.3	116	126.3	165	145.7
"245871_at"	50.3	42.9	28.9	38.2	29.4	42.2	47.9	57.4	59	41.1	56.2	35.2
"245872_at"	68.2	44.6	76.1	80.4	48.9	51.8	56.9	61.5	70.8	73.6	89.9	88
"245873_at"	102.6	99.7	102.7	80.7	91.5	108.1	95.1	122.3	105.4	125	90.7	95.2
"245874_at"	305.8	318.6	670.5	814.8	704.2	464.6	60	62.7	68.4	91.6	58.5	57.8
"245875_at"	49.2	57.1	142.6	58.2	134.6	97.7	43.3	36.4	31.8	27.3	25.2	22
"245876_at"	219.7	477.5	496.9	306.4	396.9	453.2	276	451.4	558.8	330.2	354.1	362.9
"245877_at"	293.1	432.2	530.5	435.2	370.9	589.1	270.1	444.5	532.9	353.2	305.9	354
"245878_at"	171.2	171	142.9	140	179.9	156.6	128.1	129.6	142.7	98.8	146.4	151.8
"245879_at"	198	250.6	175.2	137.1	303.1	210.1	125.7	159.4	111.7	140.4	249.8	228.8
"245880_at"	32.1	21.7	6.5	29.3	33.8	14.4	24.3	30.9	5.2	22.4	31.5	14.7
"245881_at"	375.8	649.3	341.6	397.4	589.5	431.8	482.4	553.5	486.2	454	463.2	355.5
"245882_at"	48.4	47.3	38.9	23	50.9	48.3	66.3	18.3	49.4	73.5	39	52.1
"245883_at"	33.6	30.5	50.7	35.7	58.6	44.6	42.1	26.5	37.5	113.5	56.9	42.5
"245884_at"	91.4	65.2	61	74.9	67.8	66.7	101.1	83	68	79.1	82	80.1
"245885_at"	2453.4	1565.1	1514.7	2261.4	1826.5	1551.9	4067.4	3322.6	2237	4536.7	2706.3	3158.1
"245886_at"	1668.1	2501.3	2634.8	1810.7	2987.4	2952	1410.2	2352.8	2202	1624.5	2603	2273.3
"245887_at"	564.2	670.2	687.4	613.6	987.3	709.8	528.8	715.9	648.5	604.7	718.8	830.7
"245888_at"	563.7	604.1	456.2	651.8	572.1	541.3	514.8	807.7	542.7	530.4	624.5	595
"245889_at"	226.7	164.8	185.6	284.8	254.6	243.3	251.3	296.1	398.1	308.1	437.6	553.7
"245890_at"	2.8	3.5	3.3	3.3	6.1	6	2.8	8.4	1.7	2.7	2	2.7
"245891_at"	1327.4	1339.2	1233	1034.3	1132.6	1324.5	1501.9	1680.1	1911.8	1579	1847	1852.2
"245892_at"	78.1	44.5	70	54.8	20.7	60.8	62	35.3	25.6	9.7	48.9	35.8
"245893_at"	319.8	444.3	540.4	457	613.5	569.1	266	618.9	338.1	350.3	456	519.5
"245894_at"	778.3	666.2	673.3	821.7	752	652.2	783.5	593.1	607.8	643.2	623.6	607.8
"245895_at"	303.9	421.8	411.3	409.3	382.3	403.7	343.3	356.6	355.3	361.8	296.4	309.8
