Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
At5g47120		0.32632036073212606	0
At5g46740		0.39269860640093207	0
At5g46570		0.21648548788677718	0
At5g46620		0.09821476057955626	0
At5g46795		0.35347812764214565	0
At5g46120		0.41915603689389297	0
At5g46180		0.3927169021511137	0
At5g46020		0.21713095469624116	0
At5g46190		0.4033402440801218	0
At5g46350		0.3226535133115935	0
At5g45760		0.331888006637673	0
At5g45910		0.40749537468107033	0.7203587099507911
At5g45430		0.4382871043191018	0.8046811220964625
At5g45620		0.2110358055068301	0.8601908513966426
At5g45590		0.35281500794285797	0.8246302040265201
At5g45650		0.30909705771261964	0
At5g45020		0.221819705807225	0.7390748899780374
At5g45140		0.44873067148825896	0
At5g45230		0.39331624512683366	0.7605493928755033
At5g45300		0.12527773020942035	0
At5g44570		0.13427267350427494	0
At5g44860		0.26353494882448975	0
At5g44720		0.27010106739454925	0
At5g43930		0.07526430937478869	0
At5g43720		0.011039805723663022	0
At5g43200		0.4363312605038232	0
At5g42760		0.4118657496314241	0
At5g42120		0.32155181936543553	0
At5g42220		0.34849969081439514	0
At5g42270		0.42952479632650575	0
At5g41680		0.20210553202040743	0
At5g41820		0.281657866344847	0
At5g41940		0.28881325879375513	0
At5g41580		0.358881089201086	0
At5g41010		0.3222009547966788	0
At5g40520		0.4246981550308033	0
At5g40530		0.1532671390121853	0
At5g40630		0.3283907433173031	0
At5g40670		0.27174902835225667	0
At5g40290		0.4323772798454809	0
At5g39570		0.23005889195161433	0
At5g39785		0.42862150485569955	0
At5g39990		0.17878477123402747	0
At5g39360		0.3254929567836477	0
At5g38510		0.3748307912608536	0.6989204488984846
At5g38660		0.16885212886439105	0
At5g38320		0.24690108651907938	0
At5g38450		0.38316149506664765	0
At5g36840		0.15294593075915597	0.688566948992579
At5g36950		0.25739140273128924	0
At5g37020		0.15012974284532665	0
At5g35690		0.4200970471101373	0
At5g24470		0.355434483574097	0
At5g24540		0.4136341821752524	0
At5g24660		0.4017159211659376	0
At5g23670		0.06814768442192995	0
At5g23580		0.41682479206102074	0
At5g23390		0.3603073915448773	0.8314856747542361
At5g23320		0.3588130548437901	0
At5g23110		0.3120124925601271	0
At5g22510		0.2928072091962802	0
At5g22300		0.3206816229119718	0
At5g18920		0.4133082784965597	0
At5g19100		0.373573056935489	0
At5g18250		0.4183229518284772	0
At5g18280		0.28040998633129566	0
At5g17800		0.12573925120992746	0
At5g16620		0.11794890228977577	0
At5g17320		0.2850193302010485	0.7478732985071173
At5g16550		0.21188765576469293	0
