Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
At1g40871	-0.5190492049000779	0
At1g77350	-0.438337223098418	0
At1g57670	-0.5034296264316507	0
At5g17400	-0.5601161075860305	0
At5g17520	-0.6069053646544429	0
At5g16760	-0.5408099518082391	0
At5g16850	-0.45507411746743215	0
At5g16000	-0.5527411851487927	0
At5g16200	-0.5602014139376331	0
At5g15510	-0.575545551673993	0
At5g14940	-0.5697235523500588	0
At5g14950	-0.5531429176988593	0
At1g31670	-0.48916008590159776	0
At5g36270	-0.4907575922415556	0
At5g33200	-0.5976532408802885	0
At5g33290	-0.5371795955427626	0
At5g34450	-0.6011456752691591	0
At5g29060	-0.5420947057832567	0
At5g28090	-0.5359466532857257	0
At5g28910	-0.5086078271776107	0
At5g27630	-0.47374461721259936	0
At5g27940	-0.582419273494253	0
At5g27040	-0.5104161984987055	0
At5g27270	-0.4777496603302118	0
At5g26665	-0.46982158034294924	0
At5g26731	-0.44905551021699514	0.22671841343080618
At5g26210	-0.4437212957281202	0
At5g25950	-0.4606501738299982	0
At5g25840	-0.48667593329833897	0
At5g25490	-0.4703806693242806	0
At5g25820	-0.5206674834177182	0
At5g25860	-0.5700318959397812	0
At5g25120	-0.594055397782883	0
At5g67400	-0.5258474734420893	0
At5g67510	-0.4380708565508649	0
At5g66140	-0.5900289351110716	0
At5g66620	-0.5122764313210082	0
At5g65950	-0.45485302833023883	0
At5g65960	-0.5271191433130458	0
At5g65650	-0.5723932434700921	0
At5g65685	-0.4554299467590976	0
At5g65450	-0.4632351105994078	0
At5g65140	-0.4725574286941893	0.2253774971629028
At5g64740	-0.5605495082162038	0
At5g64100	-0.44006848948846394	0
At5g63870	-0.5581079307047051	0
At5g63960	-0.5726444285807747	0
At5g64010	-0.5353002877330425	0
At5g63770	-0.5301999870456657	0
At5g63650	-0.5366238956125283	0
At5g63620	-0.4942342571199354	0
At5g63340	-0.4991197480865642	0
At5g63190	-0.5847358271629428	0
At5g63380	-0.4928416753242234	0
At5g62840	-0.5690024003198004	0
At5g62490	-0.4754904336347694	0
At5g62460	-0.495870781667078	0
At5g62180	-0.4531576842896649	0
At5g61400	-0.44965716053086796	0
At5g61110	-0.4946029781397976	0.2523640001351171
At5g60820	-0.5948462309790705	0
At5g60950	-0.5160026062733478	0
At5g60500	-0.4506982909303365	0
At5g59870	-0.5764483914617669	0
At5g60120	-0.4942069373506266	0
At5g59520	-0.4661373873043633	0
At5g59540	-0.5425182205328068	0
At5g59660	-0.4957811631594385	0
At5g59760	-0.5890470793783034	0
At5g59750	-0.4855153042844151	0
At5g59250	-0.4836842794001142	0
At5g59350	-0.4764278940120143	0
At5g59220	-0.4442401543844196	0
At5g59380	-0.4644281693982841	0
At5g58960	-0.5967213617671043	0
At5g59030	-0.5415907311373684	0
At5g58850	-0.46653892375196654	0
At5g58950	-0.5676803700310737	0
At5g58890	-0.5300669065761462	0
At5g58730	-0.5532349879262403	0
At5g58570	-0.4458514829155963	0
At5g58375	-0.45447196597359807	0
At5g57670	-0.4744847746311461	0
At5g57110	-0.5728641193109093	0
At5g57190	-0.5430640283798407	0
At5g57260	-0.5194063576555231	0
At5g56590	-0.5963810610050007	0
At5g56740	-0.43832398517374915	0
At5g56780	-0.5341609009883103	0
At5g55700	-0.5521362906897231	0
At5g55940	-0.4900751918552228	0
At5g56020	-0.5320192077925587	0
At5g55800	-0.5072990386227678	0
At5g55810	-0.5962442377749082	0
At5g55400	-0.5288256365613027	0
